NUMBER,PREDIR,STNAME,STSUFFIX,POSTDIR,UNITTYPE,UNITNUM,MAILCITY,ZIP,ZIP+4,LAT,LONG,FEATID,COUNTYID,COUNTY,JURISDICTION,FIRECODE,POLCODE,EFFDATE,TDTCODE
1005,NW,100TH,AVE,,,,MIAMI,33172,5730,,,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,07-01-19,0
1011,NW,100TH,AVE,,,,MIAMI,33172,5730,,,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,07-01-19,0
1017,NW,100TH,AVE,,,,MIAMI,33172,5730,,,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,07-01-19,0
1023,NW,100TH,AVE,,,,MIAMI,33172,5730,,,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,07-01-18,0
1029,NW,100TH,AVE,,,,MIAMI,33172,5730,,,0,86,MIAMI-DADE,UNINCORPORATED MIAMI-DADE,,,07-01-19,0
2550,NW,100TH,AVE,,,,DORAL,33172,1319,25.7974752,-80.35947804,2404236,86,MIAMI-DADE,DORAL,,,07-01-18,0
2655,NW,100TH,AVE,,,,DORAL,33172,1351,25.798352,-80.359131,2404236,86,MIAMI-DADE,DORAL,,,07-01-03,0
2665,NW,100TH,AVE,,,,DORAL,33172,1351,25.798431,-80.359133,2404236,86,MIAMI-DADE,DORAL,,,07-01-03,0
2675,NW,100TH,AVE,,,,DORAL,33172,1351,25.79851,-80.359135,2404236,86,MIAMI-DADE,DORAL,,,07-01-03,0
2700,NW,100TH,AVE,,,,DORAL,33172,1318,25.7987,-80.35914,2404236,86,MIAMI-DADE,DORAL,,,07-01-03,0
5768,NW,100TH,AVE,,,,DORAL,33178,2668,25.825775,-80.360018,2404236,86,MIAMI-DADE,DORAL,,,07-01-03,0
5769,NW,100TH,AVE,,,,DORAL,33178,2668,25.82578,-80.360018,2404236,86,MIAMI-DADE,DORAL,,,07-01-03,0
5773,NW,100TH,AVE,,,,DORAL,33178,2668,25.825801,-80.360017,2404236,86,MIAMI-DADE,DORAL,,,07-01-03,0
5775,NW,100TH,AVE,,,,DORAL,33178,2668,25.825811,-80.360016,2404236,86,MIAMI-DADE,DORAL,,,07-01-03,0
5776,NW,100TH,AVE,,,,DORAL,33178,2668,25.825817,-80.360016,2404236,86,MIAMI-DADE,DORAL,,,07-01-03,0
7442,NW,100TH,AVE,,,,DORAL,33178,3431,25.84139326,-80.36039264,2404236,86,MIAMI-DADE,DORAL,,,07-01-18,0
7443,NW,100TH,AVE,,,,DORAL,33178,3431,25.84139164,-80.35999639,2404236,86,MIAMI-DADE,DORAL,,,07-01-18,0
7452,NW,100TH,AVE,,,,DORAL,33178,3431,25.84156336,-80.36038893,2404236,86,MIAMI-DADE,DORAL,,,07-01-18,0
7455,NW,100TH,AVE,,,,DORAL,33178,3431,25.8415018,-80.35808325,2404236,86,MIAMI-DADE,DORAL,,,07-01-18,0
7472,NW,100TH,AVE,,,,DORAL,33178,3431,25.84173348,-80.36039081,2404236,86,MIAMI-DADE,DORAL,,,07-01-18,0
7475,NW,100TH,AVE,,,,DORAL,33178,3431,25.84181089,-80.38524417,2404236,86,MIAMI-DADE,DORAL,,,07-01-18,0
7487,NW,100TH,AVE,,,,DORAL,33178,3431,25.84189686,-80.35999367,2404236,86,MIAMI-DADE,DORAL,,,07-01-18,0
7541,NW,100TH,AVE,,,,DORAL,33178,3432,25.84218172,-80.38383058,2404236,86,MIAMI-DADE,DORAL,,,07-01-18,0
7555,NW,100TH,AVE,,,,DORAL,33178,3432,25.84260853,-80.360269,2404236,86,MIAMI-DADE,DORAL,,,07-01-18,0
